CSV-1.00;Elster Metering Systems Power Master Unit;;;;;;;;;;;;;;;;;;;;;;
From unit;0000000004670405 06.06.2017 8:46:16;;;;;;;;;;;;;;;;;;;;;;
Date;StartTime;EndTime;1: Import kW;2: Export kW;3: Off;4: Off;5: Off;6: Off;7: Off;8: Off;9: Off;10: Off;11: Off;12: Off;13: Off;14: Off;15: Customer Defined 1;16: Customer Defined 2;Flags;;;;
06.05.2016;11:35:00;11:47:00;0,026366;0;;;;;;;;;;;;;0,045694;0;Write access;Partial demand;;;
10.05.2016;8:38:00;8:30:00;0;0;;;;;;;;;;;;;0;0;Transient reset;Partial demand;;;
27.07.2016;8:30:00;8:31:00;0;0;;;;;;;;;;;;;0;0;Write access;CT ratio change;Phase failure;Partial demand;
27.07.2016;8:31:00;8:31:00;0;0;;;;;;;;;;;;;0;0;Write access;Phase failure;Partial demand;;
27.07.2016;8:31:00;8:31:00;0;0;;;;;;;;;;;;;0;0;Write access;Phase failure;Partial demand;;
27.07.2016;8:31:00;8:31:00;0;0;;;;;;;;;;;;;0;0;Write access;Phase failure;Partial demand;Clock change in;
27.07.2016;8:31:00;8:33:00;0;0;;;;;;;;;;;;;0;0;Write access;Reverse run;Phase failure;Partial demand;Cl
25.02.2017;9:04:00;9:30:00;0,065118;0;;;;;;;;;;;;;0,05445;0;Transient reset;Partial demand;;;
25.02.2017;10:05:00;10:30:00;0,11355;0;;;;;;;;;;;;;0,088398;0;Partial demand;;;;
25.02.2017;10:30:00;11:00:00;0,12518;0;;;;;;;;;;;;;0,055442;0;;;;;
25.02.2017;11:00:00;11:30:00;0,14618;0;;;;;;;;;;;;;0,077018;0;;;;;
25.02.2017;11:30:00;12:00:00;0,13516;0;;;;;;;;;;;;;0,064112;0;;;;;
25.02.2017;12:00:00;12:30:00;0,13596;0;;;;;;;;;;;;;0,071156;0;;;;;
25.02.2017;12:30:00;13:00:00;0,13149;0;;;;;;;;;;;;;0,061964;0;;;;;
25.02.2017;13:00:00;13:30:00;0,091994;0;;;;;;;;;;;;;0,046302;0;;;;;
25.02.2017;13:30:00;14:00:00;0,087196;0;;;;;;;;;;;;;0,052626;0;;;;;
